race_number,program_number,frequency
1,1,10
1,2,4
1,3,3
1,4,5
1,6,7
1,7,8
2,1,1
2,2,9
2,3,4
2,4,4
2,5,5
2,6,5
2,7,4
2,8,4
2,10,1
3,1,4
3,2,2
3,3,6
3,4,4
3,5,3
3,6,9
3,7,3
3,8,6
4,1,4
4,2,2
4,3,3
4,4,2
4,5,13
4,6,10
4,7,3
5,1,8
5,3,4
5,4,4
5,5,1
5,6,3
5,7,3
5,10,2
5,11,7
5,12,5
6,1,9
6,2,1
6,3,6
6,4,1
6,5,7
6,6,7
6,7,6
7,1,8
7,3,8
7,4,11
7,5,6
7,7,4
8,1,3
8,4,4
8,5,10
8,6,8
8,7,3
8,8,2
8,9,7
9,2,8
9,3,7
9,4,8
9,6,3
9,7,4
9,8,3
9,9,4
10,0,3
10,1,5
10,2,6
10,6,7
10,7,5
10,8,8
10,10,3
11,1,2
11,2,7
11,5,1
11,6,6
11,7,1
11,8,4
11,9,1
11,10,4
11,11,6
11,12,5
