,contest,date,website,contest_code,player_name,entry,rank,earnings,selection_number,track_name,race_number,program_number,horse_name,win,place,show
0,PARX FULL CARD - $250 GUARANTEED w/ NO LIMIT *P&P*,2023-01-16,horsetourneys,1401363,Tammy Reilly,1,1,32.6,1,Parx Racing,1,7,Theycallmelee,0.0,0.0,0.0
1,PARX FULL CARD - $250 GUARANTEED w/ NO LIMIT *P&P*,2023-01-16,horsetourneys,1401363,Tammy Reilly,1,1,32.6,2,Parx Racing,2,10,Dadashev,0.0,5.8,5.8
2,PARX FULL CARD - $250 GUARANTEED w/ NO LIMIT *P&P*,2023-01-16,horsetourneys,1401363,Tammy Reilly,1,1,32.6,3,Parx Racing,3,3,Recluse,18.8,8.0,26.8
3,PARX FULL CARD - $250 GUARANTEED w/ NO LIMIT *P&P*,2023-01-16,horsetourneys,1401363,Tammy Reilly,1,1,32.6,4,Parx Racing,4,2,Vanishing Faith,0.0,0.0,0.0
4,PARX FULL CARD - $250 GUARANTEED w/ NO LIMIT *P&P*,2023-01-16,horsetourneys,1401363,Tammy Reilly,1,1,32.6,5,Parx Racing,5,12,Golden Bow,0.0,0.0,0.0
5,PARX FULL CARD - $250 GUARANTEED w/ NO LIMIT *P&P*,2023-01-16,horsetourneys,1401363,Tammy Reilly,1,1,32.6,6,Parx Racing,6,3,Wicked Jane,0.0,0.0,0.0
6,PARX FULL CARD - $250 GUARANTEED w/ NO LIMIT *P&P*,2023-01-16,horsetourneys,1401363,Tammy Reilly,1,1,32.6,7,Parx Racing,7,1,Social Group,0.0,0.0,0.0
7,PARX FULL CARD - $250 GUARANTEED w/ NO LIMIT *P&P*,2023-01-16,horsetourneys,1401363,Tammy Reilly,1,1,32.6,8,Parx Racing,8,9,Captain Chazz,0.0,0.0,0.0
8,PARX FULL CARD - $250 GUARANTEED w/ NO LIMIT *P&P*,2023-01-16,horsetourneys,1401363,Tammy Reilly,1,1,32.6,9,Parx Racing,9,2,Dilly Dilly Philly,0.0,0.0,0.0
9,PARX FULL CARD - $250 GUARANTEED w/ NO LIMIT *P&P*,2023-01-16,horsetourneys,1401363,Tammy Reilly,1,1,32.6,10,Parx Racing,10,7,Offaly Fast,0.0,0.0,0.0
10,PARX FULL CARD - $250 GUARANTEED w/ NO LIMIT *P&P*,2023-01-16,horsetourneys,1401363,Tammy Reilly,1,1,32.6,11,Parx Racing,11,6,Tempestuous,0.0,0.0,0.0
11,PARX FULL CARD - $250 GUARANTEED w/ NO LIMIT *P&P*,2023-01-16,horsetourneys,1401363,Greg Altieri,1,2,26.8,1,Parx Racing,1,4,Sirenetta,0.0,0.0,0.0
12,PARX FULL CARD - $250 GUARANTEED w/ NO LIMIT *P&P*,2023-01-16,horsetourneys,1401363,Greg Altieri,1,2,26.8,2,Parx Racing,2,8,Wegottaguy,0.0,0.0,0.0
13,PARX FULL CARD - $250 GUARANTEED w/ NO LIMIT *P&P*,2023-01-16,horsetourneys,1401363,Greg Altieri,1,2,26.8,3,Parx Racing,3,3,Recluse,18.8,8.0,26.8
14,PARX FULL CARD - $250 GUARANTEED w/ NO LIMIT *P&P*,2023-01-16,horsetourneys,1401363,Greg Altieri,1,2,26.8,4,Parx Racing,4,5,Inspector Reload,0.0,0.0,0.0
15,PARX FULL CARD - $250 GUARANTEED w/ NO LIMIT *P&P*,2023-01-16,horsetourneys,1401363,Greg Altieri,1,2,26.8,5,Parx Racing,5,8,La Altenita,0.0,0.0,0.0
16,PARX FULL CARD - $250 GUARANTEED w/ NO LIMIT *P&P*,2023-01-16,horsetourneys,1401363,Greg Altieri,1,2,26.8,6,Parx Racing,6,1,Call Me Jelly Roll,0.0,0.0,0.0
17,PARX FULL CARD - $250 GUARANTEED w/ NO LIMIT *P&P*,2023-01-16,horsetourneys,1401363,Greg Altieri,1,2,26.8,7,Parx Racing,7,5,Big Beautiful Wall,0.0,0.0,0.0
18,PARX FULL CARD - $250 GUARANTEED w/ NO LIMIT *P&P*,2023-01-16,horsetourneys,1401363,Greg Altieri,1,2,26.8,8,Parx Racing,8,4,Federal Case,0.0,0.0,0.0
19,PARX FULL CARD - $250 GUARANTEED w/ NO LIMIT *P&P*,2023-01-16,horsetourneys,1401363,Greg Altieri,1,2,26.8,9,Parx Racing,9,4,Bonita Lassie,0.0,0.0,0.0
20,PARX FULL CARD - $250 GUARANTEED w/ NO LIMIT *P&P*,2023-01-16,horsetourneys,1401363,Greg Altieri,1,2,26.8,10,Parx Racing,10,2,Our Uptown Girl,0.0,0.0,0.0
21,PARX FULL CARD - $250 GUARANTEED w/ NO LIMIT *P&P*,2023-01-16,horsetourneys,1401363,Greg Altieri,1,2,26.8,11,Parx Racing,11,8,Commissioner Dave,0.0,0.0,0.0
22,PARX FULL CARD - $250 GUARANTEED w/ NO LIMIT *P&P*,2023-01-16,horsetourneys,1401363,Gary Machiz,1,3,26.8,1,Parx Racing,1,7,Theycallmelee,0.0,0.0,0.0
23,PARX FULL CARD - $250 GUARANTEED w/ NO LIMIT *P&P*,2023-01-16,horsetourneys,1401363,edward brady,1,3,26.8,1,Parx Racing,1,3,Candy Flash,0.0,0.0,0.0
24,PARX FULL CARD - $250 GUARANTEED w/ NO LIMIT *P&P*,2023-01-16,horsetourneys,1401363,david warner,1,3,26.8,1,Parx Racing,1,7,Theycallmelee,0.0,0.0,0.0
25,PARX FULL CARD - $250 GUARANTEED w/ NO LIMIT *P&P*,2023-01-16,horsetourneys,1401363,Gary Machiz,1,3,26.8,2,Parx Racing,2,5,Sunsanddrinkinhand,0.0,0.0,0.0
26,PARX FULL CARD - $250 GUARANTEED w/ NO LIMIT *P&P*,2023-01-16,horsetourneys,1401363,edward brady,1,3,26.8,2,Parx Racing,2,2,Bar On the Beach,0.0,0.0,0.0
27,PARX FULL CARD - $250 GUARANTEED w/ NO LIMIT *P&P*,2023-01-16,horsetourneys,1401363,david warner,1,3,26.8,2,Parx Racing,2,6,Manuka Bobby,0.0,0.0,0.0
28,PARX FULL CARD - $250 GUARANTEED w/ NO LIMIT *P&P*,2023-01-16,horsetourneys,1401363,edward brady,1,3,26.8,3,Parx Racing,3,3,Recluse,18.8,8.0,26.8
29,PARX FULL CARD - $250 GUARANTEED w/ NO LIMIT *P&P*,2023-01-16,horsetourneys,1401363,david warner,1,3,26.8,3,Parx Racing,3,3,Recluse,18.8,8.0,26.8
30,PARX FULL CARD - $250 GUARANTEED w/ NO LIMIT *P&P*,2023-01-16,horsetourneys,1401363,Gary Machiz,1,3,26.8,3,Parx Racing,3,3,Recluse,18.8,8.0,26.8
31,PARX FULL CARD - $250 GUARANTEED w/ NO LIMIT *P&P*,2023-01-16,horsetourneys,1401363,david warner,1,3,26.8,4,Parx Racing,4,6,Be Like Beth,0.0,0.0,0.0
