race_number,program_number,frequency
1,1,43
1,2,6
1,3,10
1,4,18
1,6,33
1,7,42
2,1,3
2,2,39
2,3,14
2,4,14
2,5,20
2,6,22
2,7,13
2,8,11
2,10,16
3,1,21
3,2,5
3,3,17
3,4,26
3,5,13
3,6,39
3,7,6
3,8,25
4,1,16
4,2,13
4,3,9
4,4,14
4,5,36
4,6,43
4,7,21
5,1,31
5,2,5
5,3,13
5,4,19
5,5,1
5,6,7
5,7,6
5,8,3
5,9,5
5,10,8
5,11,31
5,12,23
6,1,35
6,2,3
6,3,26
6,4,17
6,5,27
6,6,25
6,7,19
7,1,41
7,3,32
7,4,44
7,5,20
7,6,4
7,7,11
8,1,11
8,3,2
8,4,23
8,5,31
8,6,30
8,7,19
8,8,11
8,9,24
8,10,1
9,1,6
9,2,30
9,3,28
9,4,29
9,5,5
9,6,9
9,7,11
9,8,10
9,9,24
10,0,3
10,1,14
10,2,23
10,5,1
10,6,36
10,7,31
10,8,30
10,10,14
11,1,15
11,2,22
11,5,4
11,6,22
11,7,8
11,8,15
11,9,11
11,10,13
11,11,22
11,12,20
