,contest,date,website,contest_code,player_name,entry,rank,earnings,selection_number,track_name,race_number,program_number,horse_name,win,place,show
0,PARX FULL CARD - $550 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY,2023-01-18,horsetourneys,1402513,Jayson Rockett,1,1,0.0,1,Parx Racing,1,7,Grit'n'grind,0.0,0.0,0.0
1,PARX FULL CARD - $550 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY,2023-01-18,horsetourneys,1402513,Jayson Rockett,1,1,0.0,2,Parx Racing,2,6,Birchmount Rd,0.0,0.0,0.0
2,PARX FULL CARD - $550 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY,2023-01-18,horsetourneys,1402513,Jayson Rockett,1,1,0.0,3,Parx Racing,3,4,Liam's Blue Moon,0.0,0.0,0.0
3,PARX FULL CARD - $550 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY,2023-01-18,horsetourneys,1402513,Jayson Rockett,1,1,0.0,4,Parx Racing,4,4,No Sympathy,0.0,0.0,0.0
4,PARX FULL CARD - $550 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY,2023-01-18,horsetourneys,1402513,Jayson Rockett,1,1,0.0,5,Parx Racing,5,3,Showing Off,0.0,0.0,0.0
5,PARX FULL CARD - $550 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY,2023-01-18,horsetourneys,1402513,Jayson Rockett,1,1,0.0,6,Parx Racing,6,5,Wedontbelieveher,0.0,0.0,0.0
6,PARX FULL CARD - $550 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY,2023-01-18,horsetourneys,1402513,Jayson Rockett,1,1,0.0,7,Parx Racing,7,2,Anna Rocks,0.0,0.0,0.0
7,PARX FULL CARD - $550 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY,2023-01-18,horsetourneys,1402513,Jayson Rockett,1,1,0.0,8,Parx Racing,8,3,Spikezone,0.0,0.0,0.0
8,PARX FULL CARD - $550 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY,2023-01-18,horsetourneys,1402513,Jayson Rockett,1,1,0.0,9,Parx Racing,9,6,Clout Chaser,0.0,0.0,0.0
9,PARX FULL CARD - $550 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY,2023-01-18,horsetourneys,1402513,Jayson Rockett,1,1,0.0,10,Parx Racing,10,4,Castilleja,0.0,0.0,0.0
10,PARX FULL CARD - $550 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY,2023-01-18,horsetourneys,1402513,Jayson Rockett,1,1,0.0,11,Parx Racing,11,8,Tomater Gator,0.0,0.0,0.0
11,PARX FULL CARD - $550 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY,2023-01-18,horsetourneys,1402513,John Lloyd,1,2,0.0,1,Parx Racing,1,7,Grit'n'grind,0.0,0.0,0.0
12,PARX FULL CARD - $550 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY,2023-01-18,horsetourneys,1402513,John Lloyd,1,2,0.0,2,Parx Racing,2,7,Petulant Delight,0.0,0.0,0.0
13,PARX FULL CARD - $550 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY,2023-01-18,horsetourneys,1402513,John Lloyd,1,2,0.0,3,Parx Racing,3,8,Predominate,0.0,0.0,0.0
14,PARX FULL CARD - $550 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY,2023-01-18,horsetourneys,1402513,John Lloyd,1,2,0.0,4,Parx Racing,4,2,Without a View,0.0,0.0,0.0
15,PARX FULL CARD - $550 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY,2023-01-18,horsetourneys,1402513,John Lloyd,1,2,0.0,5,Parx Racing,5,4,Wizard Serrat,0.0,0.0,0.0
16,PARX FULL CARD - $550 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY,2023-01-18,horsetourneys,1402513,John Lloyd,1,2,0.0,6,Parx Racing,6,3,This Round's Mine,0.0,0.0,0.0
17,PARX FULL CARD - $550 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY,2023-01-18,horsetourneys,1402513,John Lloyd,1,2,0.0,7,Parx Racing,7,4,I Cross My Heart,0.0,0.0,0.0
18,PARX FULL CARD - $550 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY,2023-01-18,horsetourneys,1402513,John Lloyd,1,2,0.0,8,Parx Racing,8,8,Unimpeachable,0.0,0.0,0.0
19,PARX FULL CARD - $550 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY,2023-01-18,horsetourneys,1402513,John Lloyd,1,2,0.0,9,Parx Racing,9,7,Miss Loyalty,0.0,0.0,0.0
20,PARX FULL CARD - $550 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY,2023-01-18,horsetourneys,1402513,John Lloyd,1,2,0.0,10,Parx Racing,10,5,Cartwheel,0.0,0.0,0.0
21,PARX FULL CARD - $550 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY,2023-01-18,horsetourneys,1402513,John Lloyd,1,2,0.0,11,Parx Racing,11,8,Tomater Gator,0.0,0.0,0.0
22,PARX FULL CARD - $550 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY,2023-01-18,horsetourneys,1402513,David Tunin,1,3,0.0,1,Parx Racing,1,5,Origo,0.0,0.0,0.0
23,PARX FULL CARD - $550 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY,2023-01-18,horsetourneys,1402513,David Tunin,1,3,0.0,2,Parx Racing,2,5,Nine Toe Johnny,0.0,0.0,0.0
24,PARX FULL CARD - $550 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY,2023-01-18,horsetourneys,1402513,David Tunin,1,3,0.0,3,Parx Racing,3,7,Beachwalker,0.0,0.0,0.0
25,PARX FULL CARD - $550 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY,2023-01-18,horsetourneys,1402513,David Tunin,1,3,0.0,4,Parx Racing,4,3,Cici Unified,0.0,0.0,0.0
26,PARX FULL CARD - $550 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY,2023-01-18,horsetourneys,1402513,David Tunin,1,3,0.0,5,Parx Racing,5,6,Mo Ready,0.0,0.0,0.0
27,PARX FULL CARD - $550 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY,2023-01-18,horsetourneys,1402513,David Tunin,1,3,0.0,6,Parx Racing,6,3,This Round's Mine,0.0,0.0,0.0
28,PARX FULL CARD - $550 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY,2023-01-18,horsetourneys,1402513,David Tunin,1,3,0.0,7,Parx Racing,7,1,Date Night Kisses,0.0,0.0,0.0
29,PARX FULL CARD - $550 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY,2023-01-18,horsetourneys,1402513,David Tunin,1,3,0.0,8,Parx Racing,8,2,Ruffy,0.0,0.0,0.0
30,PARX FULL CARD - $550 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY,2023-01-18,horsetourneys,1402513,David Tunin,1,3,0.0,9,Parx Racing,9,6,Clout Chaser,0.0,0.0,0.0
31,PARX FULL CARD - $550 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY,2023-01-18,horsetourneys,1402513,David Tunin,1,3,0.0,10,Parx Racing,10,4,Castilleja,0.0,0.0,0.0
32,PARX FULL CARD - $550 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY,2023-01-18,horsetourneys,1402513,David Tunin,1,3,0.0,11,Parx Racing,11,5,Healy's Hope,0.0,0.0,0.0
33,PARX FULL CARD - $550 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY,2023-01-18,horsetourneys,1402513,peter duca,1,4,0.0,1,Parx Racing,1,5,Origo,0.0,0.0,0.0
34,PARX FULL CARD - $550 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY,2023-01-18,horsetourneys,1402513,peter duca,1,4,0.0,2,Parx Racing,2,5,Nine Toe Johnny,0.0,0.0,0.0
35,PARX FULL CARD - $550 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY,2023-01-18,horsetourneys,1402513,peter duca,1,4,0.0,3,Parx Racing,3,8,Predominate,0.0,0.0,0.0
36,PARX FULL CARD - $550 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY,2023-01-18,horsetourneys,1402513,peter duca,1,4,0.0,4,Parx Racing,4,5,Frosted Wild Ride,0.0,0.0,0.0
37,PARX FULL CARD - $550 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY,2023-01-18,horsetourneys,1402513,peter duca,1,4,0.0,5,Parx Racing,5,2,Midnight Trick,0.0,0.0,0.0
38,PARX FULL CARD - $550 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY,2023-01-18,horsetourneys,1402513,peter duca,1,4,0.0,6,Parx Racing,6,1,Ifihadachance,0.0,0.0,0.0
39,PARX FULL CARD - $550 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY,2023-01-18,horsetourneys,1402513,peter duca,1,4,0.0,7,Parx Racing,7,4,I Cross My Heart,0.0,0.0,0.0
40,PARX FULL CARD - $550 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY,2023-01-18,horsetourneys,1402513,peter duca,1,4,0.0,8,Parx Racing,8,5,Kodapendent,0.0,0.0,0.0
41,PARX FULL CARD - $550 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY,2023-01-18,horsetourneys,1402513,peter duca,1,4,0.0,9,Parx Racing,9,7,Miss Loyalty,0.0,0.0,0.0
42,PARX FULL CARD - $550 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY,2023-01-18,horsetourneys,1402513,peter duca,1,4,0.0,10,Parx Racing,10,2,Funwhileitlasted,0.0,0.0,0.0
